study_id,study_title,study_description,accession_reference,study_type,inclusion_exclusion_criteria,grants,collected_by,lab_name,lab_address,study_contact,submitted_by,pub_ids,keywords_study,subject_id,synthetic,species,sex,age_min,age_max,age_unit,age_event,ancestry_population,ethnicity,race,strain_name,linked_subjects,link_type,study_group_description,disease_diagnosis,disease_length,disease_stage,prior_therapies,immunogen,intervention,medical_history,sample_id,sample_type,tissue,anatomic_site,disease_state_sample,collection_time_point_relative,collection_time_point_relative_unit,collection_time_point_reference,biomaterial_provider,tissue_processing,cell_subset,cell_phenotype,cell_species,single_cell,cell_number,cells_per_reaction,cell_storage,cell_quality,cell_isolation,cell_processing_protocol,template_class,template_quality,template_amount,template_amount_unit,library_generation_method,library_generation_protocol,library_generation_kit_version,complete_sequences,physical_linkage,pcr_target_locus,forward_pcr_primer_target_location,reverse_pcr_primer_target_location,sequencing_run_id,total_reads_passing_qc_filter,sequencing_platform,sequencing_facility,sequencing_run_date,sequencing_kit,sequencing_data_id,primary_annotation,file_type,filename,read_direction,read_length,paired_filename,paired_read_direction,paired_read_length,software_versions,paired_reads_assembly,quality_thresholds,primer_match_cutoffs,collapsing_method,data_processing_protocols,germline_database,data_processing_files,analysis_provenance_id,reference_assembly
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Chavi,,,,,,K397,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",,,,,,Indian,,,,,,,,,,,,,,K397,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Chavi,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Chavi,,,,,,K410,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",,,,,,Indian,,,,,,,,,,,,,,K410,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Chavi,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Chavi,,,,,,K916,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",,,,,,Indian,,,,,,,,,,,,,,K916,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Chavi,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Chavi,,,,,,L211,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",,,,,,Indian,,,,,,,,,,,,,,L211,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Chavi,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,125_13,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,125_13,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,133_13,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,133_13,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,146_13,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,146_13,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,194_13,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,194_13,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,315_04,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,315_04,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RGt19,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RGt19,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RIb18,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RIb18,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RJb19,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RJb19,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RLi18,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Male,,,,,Indian,,,,,,,,,,,,,,RLi18,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RWq18,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RWq18,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RYL18,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RYL18,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RBo18,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RBo18,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,ROi16,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,ROi16,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RRr14,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RRr14,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RSq17,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RSq17,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
R24AI162317,,,,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",,NIH R24AI162317,,Emory National Primate Research Center,"Room #2040 954 Gatewood NE Road, Atlanta, 30329, GA","Amit, Upad.","Stacey, Lapp",,,RVi14,FALSE,"{""id"": ""NCBITAXON: 9544"", ""label"": ""Rhesus macaque""}",Female,,,,,Indian,,,,,,,,,,,,,,RVi14,peripheral blood sample,"{""label"": ""blood"",""id"": ""UBERON:0000178""}",Saphenous vein,,,,,Emory National Primate Research Center,,,,,FALSE,,,,,,,DNA,,,,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,,,,,,,,,SEQUELII,University of Louisville Sequencing Technology Center,,,,TRUE,BAM,,,,,,,"HiFiASM, WASP v1.0, Digger v0.7.4",,,,manual,,custom,,,none (de novo annotation)
